"Frequency / Hz","Vm2:Measured voltage"
0,9.9999999998679279
10,4.8584929458929966e-11
20,7.7645674045929483e-11
30,3.0315447463861588e-11
40,2.2954367801546167e-10
50,1.7714378343566511e-11
60,39.992894095206111
70,1.6950566683566103e-11
80,2.2034274960731771e-11
90,1.5271714678789018e-11
100,2.4435694429982225e-11
110,2.9280993147493411e-11
120,4.668599225254605e-11
130,5.0255859101805787e-11
140,1.8211531355730892e-10
150,3.2002067052299868e-11
160,2.7528371689401947e-11
170,7.2426024073031433e-12
180,3.4131387512586592e-11
190,2.6103374181851607e-11
200,7.6607858364717928e-11
210,3.3378572853740653e-11
220,5.6840489615248117e-11
230,2.1487710489772634e-11
240,3.3085595211221522e-11
250,2.8372395724122746e-11
260,5.0677771249778707e-11
270,2.2617785713903122e-11
280,3.9288664106104908e-10
290,3.3498198698456137e-12
300,2.3959926650418759e-11
310,2.9094799859567904e-11
320,8.2272833401489524e-11
330,3.1511625765213583e-11
340,9.6612417775153965e-10
350,2.5642804217710297e-11
360,1.5756508767214793e-10
370,1.3366661718335452e-11
380,2.6634076560916185e-11
390,6.3950413443988553e-12
400,1.609073456806444e-07
410,5.0522937310440809e-12
420,1.6882808468241574e-10
430,1.0629290399883557e-11
440,3.093097643503142e-11
450,3.382648281109087e-11
460,3.7076781777319857e-07
470,3.4757556326361451e-11
480,1.537099886956636e-10
490,1.5103529845497994e-11
500,1.0816949711942034e-10
510,1.2515781180315727e-11
520,3.6214762324719588e-05
530,1.0282512686337641e-11
540,1.1440365755550741e-10
550,3.6976054123539931e-12
560,7.4438860614016199e-11
570,1.4296402162539807e-11
580,8.4215025951276493e-05
590,2.2847013345098861e-11
600,1.0806762545932408e-10
610,1.6898726741793164e-11
620,6.0402601476103436e-11
630,2.1114281476307694e-11
640,0.0050374225122984872
650,1.0495896076841234e-11
660,7.2687576309985036e-11
670,1.7412405591160099e-11
680,1.0559020723659758e-10
690,4.4340386705450706e-12
700,0.010607883969359813
710,4.5919728105842585e-12
720,8.3470391301234528e-11
730,1.2904775749519235e-11
740,4.2708174367078412e-11
750,2.8573074182977239e-11
760,0.37099704030198494
770,1.8171203301114675e-11
780,7.0863666825161721e-11
790,1.6281164592856505e-11
800,2.100511526103982e-11
810,1.7945474649311346e-11
820,0.60690717337674038
830,2.360258559849947e-11
840,8.774890454333243e-11
850,1.8143331869472488e-11
860,5.1288855290824615e-11
870,1.9931864191620718e-11
880,10.574795707583403
890,2.6565427755467063e-11
900,4.0061789995987322e-11
910,1.307452638987657e-11
920,2.4457184526934379e-11
930,2.30220612016142e-11
940,9.4898376071118946
950,4.5003329432909286e-11
960,1.1953044321043612e-10
970,3.5846403174035824e-11
980,2.1802061984236571e-11
990,2.8411184375135753e-11
1000,38.901610511276743
